"Botanical.Name","ht.max","dbh","cw"
"Magnolia grandiflora",21.18,143.239478582833,22.86
"Quercus falcata",NA,155.971876679085,NA
"Taxus spp.",16.92,NA,NA
"Escalonia myrilloides var. putens",NA,34.6957848122863,NA
"Escalonia myrilloides var. putens",12.1,34.0591649074737,NA
"Alnus acuminata",19.42,34.0591649074737,NA
"Ceiba pentandra",NA,146.740888059302,NA
"Ceiba pentandra",36.7,NA,NA
"Ceiba pentandra",47.12,NA,NA
"Ulmus mexicana",32.92,127.642290914925,NA
"Ulmus mexicana",41.15,97.0845354839202,NA
"Ulmus mexicana",51.6,NA,NA
"Cedrus deodara",29.99,122.549331676424,NA
"Pinus pinea",18.29,136.236659629895,NA
"Cercis  siliquastrum",12.65,38.8338141935681,NA
"Pinus sylvestris",11.8,52.2028321946325,NA
"Abies pinsapo",12.01,57.2957914331333,NA
"Abies pinsapo",12.62,56.6591715283207,NA
"Quercus suber",13.01,85.6253771972936,NA
"Jacaranda mimosifolia",16.22,NA,NA
"Jacaranda mimosifolia",18.07,NA,NA
"Jacaranda mimosifolia",20.94,84.0338274352621,NA
"Juglans nigra",22.19,57.9324113379459,NA
"Phoenix dactylifera",NA,81.4873478160117,NA
"Taxus baccata",12.83,42.9718435748499,NA
"Cercis siliquastrum",13.96,17.8253573347526,NA
"Carya illinoinensis",24.54,47.1098729561318,NA
"Eucalyptus camaldulensis",28.59,138.146519344332,NA
"Magnolia grandiflora",15,65.8901601481032,NA
"Ailanthus altissima",23.07,42.3352236700374,NA
"Platanus occidentalis",35.97,167.431034965712,NA
"Taxodium distichum",NA,262.9240206876,NA
"Taxodium distichum",33.07,NA,NA
"Salix nigra",32,114.909892818673,NA
"Ulmus crassifolia",28.96,88.8084767213566,NA
"Ulmus crassifolia",30.85,87.2169269593251,NA
"Crataegus viridis",13.72,21.0084568588155,NA
"Quercus texana",34.23,132.735250153425,NA
"Quercus texana",36.18,124.459191390862,NA
"Gleditsia aquatica",25.88,65.571850195697,NA
"Gleditsia aquatica",27.16,42.0169137176311,NA
"Gleditsia aquatica",31.27,49.9746625277885,NA
"Quercus nigra",32.95,134.963419820269,NA
"Nyssa aquatica",22.68,290.935296499354,16.46
"Nyssa aquatica",23.53,320.856432025546,NA
"Fagus grandifolia",34.99,78.3042482919488,NA
"Platanus occidentalis",38.65,104.405664389265,NA
"Platanus occidentalis",39.68,95.4929857218888,NA
"Taxodium distichum",37.7,NA,NA
