  Scientific Name  	 AGCP	 AW	 CB	 EMP	 GP	 HI	 MW	 NCNE	 WMVC	 AK
  Carex brevior  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Carex bromoides  	 FACW	   	   	 FACW	   	   	 FACW	 FACW	   	   
  Carex brunnescens  	 FAC	 OBL	   	 FACW	 FAC	   	 FACW	 FACW	 OBL	 FAC
  Carex bulbostylis  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Carex bullata  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Carex bushii  	 FACW	   	   	 FACW	 OBL	   	 FAC	 FAC	   	   
  Carex buxbaumii  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 FACW
  Carex californica  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex canescens  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 FACW
  Carex capillaris  	   	 FACW	   	   	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex capitata  	   	 FAC	   	   	 FACW	   	   	 FAC	 FACW	 FAC
  Carex caroliniana  	 FACW	   	   	 FACW	 OBL	   	 FACW	 FAC	   	   
  Carex castanea  	   	   	   	   	 FACW	   	 FACW	 FACW	   	   
  Carex cephaloidea  	 FAC	   	   	 FAC	   	   	 FACU	 FACU	   	   
  Carex cephalophora  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Carex chapmanii  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Carex cherokeensis  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Carex chordorrhiza  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex collinsii  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Carex comosa  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex complanata  	 FAC	   	   	 FACU	 FAC	   	 FACU	 FACU	   	   
  Carex concinna  	   	 FAC	   	   	 FACU	   	   	 FACU	 FAC	 FAC
  Carex conjuncta  	 FAC	   	   	 FACW	 FAC	   	 FACW	 FACW	   	   
  Carex conoidea  	 FACW	 FACW	   	 FACU	 FAC	   	 FACW	 FACW	 FAC	   
  Carex corrugata  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Carex crawei  	 OBL	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Carex crawfordii  	 FAC	 FAC	   	 FAC	 OBL	   	 FAC	 FACW	 FACW	 FAC
  Carex crebriflora  	 FACW	   	   	 FACW	 OBL	   	   	   	   	   
  Carex crinita  	 FACW	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex cristatella  	 FAC	   	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Carex crus-corvi  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex cryptolepis  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex cumulata  	 FACU	   	   	 FACU	   	   	 FACU	 FACU	   	   
  Carex cusickii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex davisii  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Carex davyi  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex debilis  	 FACW	   	   	 FAC	 OBL	   	 FACW	 FACW	   	   
  Carex decomposita  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex densa  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex deweyana  	   	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FAC	 FACU
  Carex diandra  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex digitalis  	 FACU	   	   	 UPL	 UPL	   	 UPL	 UPL	   	   
  Carex disperma  	   	 OBL	   	 FACW	 FACW	   	 OBL	 OBL	 FACW	 FACW
  Carex divisa  	 OBL	   	   	   	   	   	   	   	   	   
  Carex divulsa  	 FAC	 FAC	   	 FAC	   	   	 FAC	 FAC	 FAC	   
  Carex douglasii  	   	 FAC	   	 FAC	 FAC	   	 FAC	   	 FAC	   
  Carex eburnea  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Carex echinata  	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL	 OBL
  Carex egglestonii  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Carex eleusinoides  	   	   	   	   	   	   	   	   	   	 FACW
  Carex elliottii  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Carex elynoides  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex emoryi  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex enanderi  	   	   	   	   	   	   	   	   	   	 OBL
  Carex exilis  	 OBL	   	   	 OBL	 OBL	   	   	 OBL	   	   
  Carex exsiccata  	   	 OBL	   	   	 OBL	   	   	   	 OBL	 OBL
  Carex extensa  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Carex festucacea  	 FACW	   	   	 FAC	 FACW	   	 FACW	 FAC	   	   
  Carex feta  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex fissa  	 FACW	   	   	 FACW	 OBL	   	 FACW	   	   	   
  Carex fissuricola  	   	 FACW	   	   	 FACW	   	   	   	 OBL	   
  Carex flaccosperma  	 FACW	   	   	 FAC	 FACW	   	 FACW	   	   	   
  Carex flava  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex foenea  	 FACU	 FACU	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	 FACU
  Carex folliculata  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex formosa  	   	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Carex fracta  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex frankii  	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL	 OBL	   	   
  Carex fuirenoides  	   	   	   	   	   	 FACW	   	   	   	   
  Carex fuliginosa  	   	 FACU	   	   	 FACW	   	   	   	 FACU	 FAC
  Carex garberi  	   	 FACW	   	   	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex gigantea  	 OBL	   	   	 OBL	   	   	 OBL	   	   	   
  Carex glareosa  	   	   	   	   	   	   	   	   	   	 OBL
  Carex glaucescens  	 OBL	   	   	 OBL	 OBL	   	   	   	   	   
  Carex glaucodea  	 FACW	   	   	 FAC	 FACW	   	 FAC	 FAC	   	   
  Carex gmelinii  	   	   	   	   	   	   	   	   	   	 FAC
  Carex gracillima  	 FACU	   	   	 FACU	 FACW	   	 FACU	 FACU	   	   
  Carex granularis  	 FACW	   	   	 FACW	 OBL	   	 FACW	 FACW	 OBL	   
  Carex gravida  	 FACW	 FACW	   	 FACW	 FACW	   	 FACU	 FACU	 FACW	   
  Carex grayi  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Carex grisea  	 FACW	   	   	 FACU	 FACW	   	 FAC	 FAC	   	   
  Carex gynandra  	 FACW	   	   	 OBL	   	   	 FACW	 OBL	   	   
  Carex gynocrates  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex gynodynama  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex hallii  	   	 FACW	   	   	 FAC	   	 FACW	 FACW	 FACW	   
  Carex harfordii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex hassei  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex haydeniana  	   	 FAC	   	   	 FACU	   	   	   	 FAC	   
  Carex haydenii  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex heleonastes  	   	   	   	   	   	   	   	 OBL	   	 OBL
  Carex hendersonii  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex heteroneura  	   	 FAC	   	   	 FACW	   	   	   	 FAC	   
  Carex hirtissima  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex holostoma  	   	   	   	   	   	   	   	   	   	 OBL
  Carex hoodii  	   	 FAC	   	   	 UPL	   	   	   	 FACU	 FACU
  Carex hormathodes  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Carex hyalina  	 FACW	   	   	 FACW	 FACW	   	   	   	   	   
  Carex hyalinolepis  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex hystericina  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex idahoa  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex illota  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Carex incurviformis  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FAC
  Carex infirminervia  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex integra  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex interior  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex interrupta  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex intumescens  	 FACW	   	   	 FACW	 OBL	   	 FACW	 FACW	 OBL	   
  Carex jonesii  	   	 FACW	   	   	 FACW	   	   	   	 OBL	   
  Carex joorii  	 OBL	   	   	 OBL	 OBL	   	   	   	   	   
  Carex kauaiensis  	   	   	   	   	   	 FAC	   	   	   	   
  Carex kelloggii  	   	 OBL	   	   	 OBL	   	   	   	 OBL	 OBL
  Carex klamathensis  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex lachenalii  	   	 OBL	   	   	 OBL	   	   	   	 OBL	 OBL
  Carex lacustris  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex laeviconica  	   	   	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex laeviculmis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Carex laevivaginata  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex lapponica  	   	   	   	   	   	   	   	   	   	 OBL
  Carex lasiocarpa  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex laxa  	   	   	   	   	   	   	   	   	   	 OBL
  Carex laxiflora  	 FACU	   	   	 FACU	 FACU	   	 UPL	 UPL	   	   
  Carex lemmonii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex lenticularis  	   	 OBL	   	   	 OBL	   	   	 OBL	 OBL	 OBL
  Carex leporina  	 FAC	 FACW	   	 FAC	   	   	 FAC	 FAC	 FACW	   
  Carex leporinella  	   	 FACW	   	   	 FACW	   	   	   	 OBL	   
  Carex leptalea  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex leptonervia  	 FACW	   	   	 FACW	 FAC	   	 FAC	 FAC	   	   
  Carex leptopoda  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex limosa  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex livida  	 OBL	 OBL	   	   	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex loliacea  	   	   	   	   	   	   	   	   	   	 OBL
  Carex lonchocarpa  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex longii  	 OBL	 FACW	 FACW	 OBL	 OBL	 FAC	 OBL	 OBL	 OBL	   
  Carex louisianica  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex lupuliformis  	 OBL	   	   	 FACW	 OBL	   	 OBL	 OBL	   	   
  Carex lupulina  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex lurida  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex luzulifolia  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Carex luzulina  	   	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Carex lyngbyei  	   	 OBL	   	   	   	   	   	   	 OBL	 OBL
  Carex mackenziei  	   	   	   	   	   	   	   	 FACW	   	 OBL
  Carex macloviana  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FAC
  Carex macrocephala  	 FAC	   	   	   	   	   	   	   	 FACU	 FAC
  Carex macrochaeta  	   	 FACW	   	   	   	   	   	   	 OBL	 FACW
  Carex magellanica  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex marina  	   	   	   	   	   	   	   	   	   	 OBL
  Carex mariposana  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex maritima  	   	   	   	   	   	   	   	   	   	 FAC
  Carex mckittrickensis  	   	 FACW	   	   	 FACW	   	   	   	   	   
  Carex meadii  	 FAC	 OBL	   	 FAC	 FAC	   	 FAC	 FAC	 OBL	   
  Carex media  	   	 FACW	   	   	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex membranacea  	   	   	   	   	   	   	   	   	   	 FACW
  Carex mendocinensis  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex mertensii  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FACW
  Carex meyenii  	   	   	   	   	   	 FACU	   	   	   	   
  Carex michauxiana  	   	   	   	 OBL	   	   	   	 OBL	   	   
  Carex microchaeta  	   	   	   	   	   	   	   	   	   	 FAC
  Carex microdonta  	 FACW	 FAC	   	 FACW	 OBL	   	 FAC	   	   	   
  Carex microglochin  	   	 OBL	   	   	 OBL	   	   	 OBL	 FACW	 OBL
  Carex micropoda  	   	 FAC	   	   	 FACU	   	   	   	 FACU	 FACW
  Carex microptera  	   	 FAC	   	   	 FAC	   	   	   	 FACU	 FAC
  Carex mitchelliana  	 FACW	   	   	 OBL	   	   	 FACW	 OBL	   	   
  Carex molesta  	 FAC	 FAC	   	 FAC	 FACW	   	 FAC	 FAC	 FACW	   
  Carex montis-eeka  	   	   	   	   	   	 OBL	   	   	   	   
  Carex muricata  	 FAC	   	   	 FAC	   	   	   	 FAC	   	   
  Carex muskingumensis  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex nardina  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Carex nebrascensis  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex nelsonii  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex nervina  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Carex neurophora  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Carex nigra  	   	   	   	   	   	   	 FACW	 FACW	   	   
  Carex nigricans  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Carex nigromarginata  	 FACU	   	   	 UPL	 FAC	   	 UPL	 UPL	   	   
  Carex normalis  	 FACW	   	   	 FACW	 OBL	   	 FACW	 FACW	   	   
  Carex nova  	   	 FAC	   	   	 FACW	   	   	   	 FAC	   
  Carex novae-angliae  	   	   	   	 FACU	   	   	   	 FACU	   	   
  Carex nudata  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Carex obispoensis  	   	 FACW	   	   	   	   	   	   	   	   
  Carex obnupta  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex oklahomensis  	 OBL	   	   	 OBL	 FACW	   	 OBL	 OBL	   	   
  Carex oligosperma  	   	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex opaca  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Carex oxylepis  	 FACW	   	   	 FACW	 OBL	   	 FACW	   	   	   
  Carex ozarkana  	 OBL	   	   	 OBL	 OBL	   	   	   	   	   
  Carex pachystachya  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FAC
  Carex paleacea  	   	   	   	   	   	   	   	 OBL	   	   
  Carex pallescens  	 FACW	 FAC	   	 FACW	   	   	 FACW	 FAC	 FAC	   
  Carex pansa  	   	 FACU	   	   	   	   	   	   	 FAC	   
  Carex parryana  	   	 FAC	   	   	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex pauciflora  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex paysonis  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Carex pedunculata  	 OBL	   	   	 OBL	 OBL	   	 OBL	 FAC	 OBL	   
  Carex pellita  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex pelocarpa  	   	 FAC	   	   	 FACU	   	   	   	 FAC	   
  Carex pendula  	 FACW	 FAC	   	   	   	   	   	   	 FAC	   
  Carex petasata  	   	 FAC	   	   	 UPL	   	   	   	 UPL	 UPL
  Carex phaeocephala  	   	 FACU	   	   	 FACU	   	   	   	 UPL	 FAC
  Carex pigra  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Carex pluriflora  	   	   	   	   	   	   	   	   	 OBL	 OBL
  Carex podocarpa  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FAC
  Carex polymorpha  	 FACU	   	   	 FACU	   	   	   	 FACU	   	   
  Carex praeceptorum  	   	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Carex praegracilis  	   	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex prairea  	 FACW	   	   	 FACW	 OBL	   	 OBL	 FACW	 OBL	   
  Carex prasina  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex praticola  	   	 FACW	   	   	 FAC	   	 FAC	 FAC	 FACW	 FAC
  Carex preslii  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Carex projecta  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Carex pseudocyperus  	   	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex pumila  	 FACU	   	   	   	   	   	   	   	 FACU	   
  Carex radiata  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Carex ramenskii  	   	   	   	   	   	   	   	   	   	 OBL
  Carex rariflora  	   	   	   	   	   	   	   	 OBL	   	 OBL
  Carex raynoldsii  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Carex recta  	   	   	   	   	   	   	   	 OBL	   	   
  Carex reniformis  	 FACW	   	   	 FACW	 OBL	   	 FACW	   	   	   
  Carex retroflexa  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Carex retrorsa  	   	 OBL	   	 FACW	 OBL	   	 OBL	 OBL	 OBL	   
  Carex richardsonii  	 UPL	   	   	 UPL	 FAC	   	 UPL	 UPL	 FAC	   
  Carex rosea  	 FACU	 FAC	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Carex rostrata  	   	 OBL	   	   	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex rotundata  	   	   	   	   	   	   	   	   	   	 OBL
  Carex rupestris  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Carex salina  	   	   	   	   	   	   	   	 FACW	   	   
  Carex saliniformis  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex sartwelliana  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex sartwellii  	 FACW	 OBL	   	 OBL	 FACW	   	 FACW	 OBL	 OBL	 OBL
  Carex saxatilis  	   	 OBL	   	   	 OBL	   	   	 FACW	 OBL	 FACW
  Carex scabrata  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex scabriuscula  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex schottii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex schweinitzii  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex scirpoidea  	   	 FAC	   	   	 FACU	   	 FACU	 FACU	 FAC	 FACU
  Carex scoparia  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	   
  Carex scopulorum  	   	 FACW	   	   	 FACW	   	   	   	 OBL	   
  Carex senta  	   	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Carex seorsa  	 FACW	   	   	 FACW	   	   	 FACW	 FACW	   	   
  Carex serratodens  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex sheldonii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex shortiana  	 FACW	   	   	 FAC	   	   	 FACW	 FACW	   	   
  Carex siccata  	 UPL	 UPL	   	 FACU	 UPL	   	 UPL	 UPL	 FACU	 FACU
  Carex simulata  	   	 OBL	   	   	 OBL	   	   	   	 OBL	   
  Carex sparganioides  	 FAC	   	   	 FACU	 FAC	   	 FAC	 FACU	   	   
  Carex spectabilis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Carex specuicola  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Carex spicata  	 FAC	   	   	 FAC	   	   	 FACU	 FACU	   	   
  Carex spissa  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex sprengelii  	 FACU	 FAC	   	 FACU	 FACU	   	 FAC	 FAC	 FAC	 FAC
  Carex squarrosa  	 FACW	   	   	 FACW	 FACW	   	 OBL	 OBL	   	   
  Carex sterilis  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex stevenii  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex stipata  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex straminea  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Carex striata  	 OBL	   	   	 OBL	   	   	   	 OBL	   	   
  Carex stricta  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex styloflexa  	 FACW	   	   	 FACW	 OBL	   	 FAC	 FAC	   	   
  Carex stylosa  	   	   	   	   	   	   	   	   	 OBL	 FACW
  Carex subbracteata  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex suberecta  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex subfusca  	   	 FAC	   	   	 FACU	 FAC	   	   	 FAC	   
  Carex subnigricans  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex subspathacea  	   	   	   	   	   	   	   	   	   	 OBL
  Carex superata  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Carex swanii  	 UPL	   	   	 FACU	 UPL	   	 FACU	 FACU	   	   
  Carex sychnocephala  	   	 FACW	   	   	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Carex sylvatica  	   	   	   	 FACU	   	   	   	 FACU	 FACU	   
  Carex tenera  	 FACW	 FACW	   	 FAC	 FACW	   	 FACW	 FAC	 FACW	   
  Carex tenuiflora  	   	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex tetanica  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Carex tetrastachya  	 FACW	   	   	 FACW	 FACW	   	   	   	   	   
  Carex thunbergii  	   	   	   	   	   	 OBL	   	   	   	   
  Carex thurberi  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Carex tiogana  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex torreyi  	   	 FAC	   	   	 UPL	   	 FACU	 FACU	 FAC	   
  Carex torta  	 OBL	   	   	 FACW	 FACW	   	 OBL	 OBL	   	   
  Carex triangularis  	 FACW	   	   	 FACW	 OBL	   	 OBL	 OBL	   	   
  Carex tribuloides  	 FACW	   	   	 FACW	 OBL	   	 OBL	 FACW	 FACW	   
  Carex trichocarpa  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex trisperma  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex tuckermanii  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Carex tumulicola  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Carex turbinata  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Carex turgescens  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Carex typhina  	 OBL	   	   	 FACW	 OBL	   	 OBL	 OBL	   	   
  Carex unilateralis  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Carex ursina  	   	   	   	   	   	   	   	   	   	 FACW
  Carex utriculata  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex vaginata  	   	   	   	   	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex vallicola  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex venusta  	 FACW	   	   	 OBL	   	   	   	 OBL	   	   
  Carex vernacula  	   	 FAC	   	   	 FAC	   	   	   	 FAC	   
  Carex verrucosa  	 OBL	   	   	 OBL	 OBL	   	   	   	   	   
  Carex vesicaria  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	   
  Carex vexans  	 FACW	   	   	   	   	   	   	   	   	   
  Carex viridula  	 OBL	 OBL	   	 OBL	 OBL	   	 OBL	 OBL	 OBL	 OBL
  Carex vulpinoidea  	 FACW	 OBL	   	 OBL	 FACW	   	 FACW	 OBL	 OBL	   
  Carex wahuensis  	   	   	   	   	   	 FACU	   	   	   	   
  Carex wiegandii  	   	   	   	 OBL	   	   	   	 OBL	   	   
  Carex willdenowii  	 FACU	   	   	 UPL	   	   	 FACU	 UPL	   	   
  Carex williamsii  	   	   	   	   	   	   	   	   	   	 FAC
  Carex woodii  	 UPL	   	   	 UPL	   	   	 FAC	 FACU	   	   
  Carica papaya  	 UPL	   	 UPL	   	   	 FAC	   	   	   	   
  Carmona retusa  	 UPL	   	   	   	   	 FACU	   	   	   	   
  Carphephorus carnosus  	 FACW	   	   	   	   	   	   	   	   	   
  Carphephorus corymbosus  	 FACU	   	   	   	   	   	   	   	   	   
  Carphephorus odoratissimus  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Carphephorus paniculatus  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Carphephorus pseudoliatris  	 OBL	   	   	   	   	   	   	   	   	   
  Carphephorus tomentosus  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Carpinus caroliniana  	 FAC	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Carpobrotus chilensis  	   	 FACU	   	   	   	   	   	   	 FAC	   
  Cartrema americana  	 FAC	 FAC	   	 FAC	 FAC	   	   	   	   	   
  Carum carvi  	 FACU	 FACU	   	 UPL	 UPL	   	 FACU	 UPL	 FACU	   
  Carya X lecontei  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Carya aquatica  	 OBL	   	   	 OBL	 OBL	   	 OBL	   	   	   
  Carya cordiformis  	 FAC	   	   	 FACU	 FACU	   	 FACU	 FAC	   	   
  Carya glabra  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Carya illinoinensis  	 FACU	 FAC	   	 FACU	 FAC	   	 FACW	 FACW	 FAC	   
  Carya laciniosa  	 FACW	   	   	 FAC	 FAC	   	 FACW	 FACW	   	   
  Carya myristiciformis  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Carya ovalis  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Carya ovata  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Casasia clusiifolia  	 FAC	   	   	   	   	   	   	   	   	   
  Cascadia nuttallii  	   	   	   	   	   	   	   	   	 OBL	   
  Casearia arborea  	   	   	 FAC	   	   	   	   	   	   	   
  Casearia decandra  	   	   	 FAC	   	   	   	   	   	   	   
  Casearia guianensis  	   	   	 FAC	   	   	   	   	   	   	   
  Casearia sylvestris  	   	   	 FAC	   	   	   	   	   	   	   
  Cassiope mertensiana  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 UPL
