order	ocr	taxon	elias	fna	other	mean
731	Beaked Yucca /Y. roslrolo/ 912	Yucca rostrata	4			4
732	Schott Yucca (Y. schottiiJ 913	Yucca schottii	7			7
736	Torrey Yucca (Y. lorreyi) 915	Yucca torreyi	8			8
733	Trecul Yucca (Y. lrecu/eono) 913	Yucca treculeana	8			8
659	Common Prickly Ash (Z. omericonum)	Zanthoxylum americanum	10			10
656	Hercules Club (Z. clava-hercu/is) 829	Zanthoxylum clava-herculis	9			9
661	Biscayne Prickly Ash (Z. corioceum)	Zanthoxylum coriaceum	7			7
658	Lime Prickly Ash (Z. fagaro) 831	Zanthoxylum fagara	9			9
660	Yellowheart (Z. //ovum) 832	Zanthoxylum flavum	10			10
657	Texas Hercules Club (Z. hirsutum} 830	Zanthoxylum hirsutum	5			5
