order	ocr	taxon	elias	fna	other	mean
577	Spiny Ceanothus re. spinos4sJ 742	Ceanothus spinosus	6			6
575	Blueblossom {C. thyrsifiorusJ 741	Ceanothus thyrsiflorus	6			6
142	Sugarberry, Hackberry {C. laevigata) 246	Celtis laevigata	28			28
141	Lindheimer Hackberry (C. lindheimeri)- 245	Celtis lindheimeri	14			14
139	Hackberry (C, occidenla/is) 243	Celtis occidentalis	18			18
144	Spiny Hackberry (C. pa/Iida) 248	Celtis pallida	5			5
140	Netleaf Hackberry (C. retic ulala) 244	Celtis reticulata	10			10
143	Georgia Hackberry, Dwarf Hackberry (C. tenuifo- ;·, /ia} 247 ·	Celtis tenuifolia	10			10
707	eUUon Bush (C, occiden!olisj ·· 885	Cephalanthus occidentalis	15		?	15
494	Blue Paloverde {C. floridu.m) 654	Cercidium floridum	10			10
495	Border Paloverde (G. mocrum} 655	Cercidium macrum	8			8
493	Yellow Paloverde re. microphyllum) 654	Cercidium microphyllum	6			6
486	Eastern Redbud (C. conadensisJ 646	Cercis canadensis	8			8
487	California Redbud {C. occidentolisJ 647	Cercis occidentalis	7			7
395	Birchleaf Mountain Mahogany (C. betu-	Cercocarpus betuloides	8			8
396	Hairy Mountain Mahogany (C. breviflorus}	Cercocarpus breviflorus	7			7
393	Curlleaf Mountain Mahogany {C. Jedifo·	Cercocarpus ledifolius	12			12
394	Catalina Mountain Mahogany (C. traskioe)	Cercocarpus traskiae	7			7
277	Key Wost Cephalocereus (C. robinii variety	Cereus robinii		10		10
278	Deering Cephalo cereus (C. robinii variety deeringiiJ	Cereus robinii var. deeringii				#DIV/0!
276	Organ-Pipe Cactus (C. thurberi) 421	Cereus thurberi	6			6
77	Port Orford Cedar, Lawson False-Cypress (C.	Chamaecyparis lawsoniana	65	50		57.5
75	Alaska Cedar, Yellow Cypress (C. noolkalensis)	Chamaecyparis nootkatensis	50	40		45
78	Hinoki While Cedar (C. oblusoJ 134	Chamaecyparis obtusa	14			14
79	Sawara White Cedar (C. pisifera) 134	Chamaecyparis pisifera	15			15
76	Atlantic White Cedar (C. !hyoidesJ 132	Chamaecyparis thyoides	28	20		24
704	'Desert Willow (C. /ineoris) 881	Chilopsis linearis	10			10
680	Fringetree (C. virginicusJ 857	Chionanthus virginicus	10			10
466	Coco-Plum (C. icaco) 622	Chrysobalanus icaco	5			5
375	Satinloaf (C. o/iviformeJ 532	Chrysophyllum oliviforme			9	9
121	Camphor Tree (C. camphor) 21	Cinnamomum camphora			24	24
676	Florida Fiddlewood {C. frulicosum)	Citharexylum fruticosum	12			12
651	Sour Orange (C. auronlium) 824	Citrus ×aurantium	6			6
652	Sweet Orange (C. sinensisJ 825	Citrus ×sinensis	8			8
650	Lime (C. ourontifolio) 823	Citrus aurantiifolia	8			8
653	Lemon (C. Jimon) 825	Citrus limon			6	6
500	Yellowwood {C. /utea) 660	Cladrastis lutea	18			18
359	Sweet Pepperbush (G. acuminoto) 510	Clethra acuminata	6			6
358	Buc􀆨wheat or Titi Tree {C. monophyllaJ	Cliftonia monophylla	8			8
288	Balsam Apple (G. rosea} 433	Clusia rosea	18			18
283	Dove Plum (G. diversifolioJ 427	Coccoloba diversifolia	20			20
282	Sea Gra pe (G. uviferoJ 4􀄗6	Coccoloba uvifera	15			15
749	Florida Silver Palm (C, argentato)	Coccothrinax argentata	8			8
739	Coconut Palm {C. nucifera) 922	Cocos nucifera	20			20
580	Coffee Colubrina (G, tlrborescensJ 745	Colubrina arborescens	8			8
579	Cuban Colubrina re. cubensisJ 744	Colubrina cubensis	9			9
578	Soldierwood {C. el/iptica) 744	Colubrina elliptica	8			8
589	Bitter Condalia (C. globosa) 754	Condalia globosa	6			6
588	Bluewood (G. hookeriJ 753	Condalia hookeri	9			9
527	Butlon Mangrove (C. erectusJ 686	Conocarpus erectus	20			20
672	Anacahuite (C. bois:::ieri) 848	Cordia boissieri	8			8
671	Geiger Tree (C. sebes1eno) . 847	Cordia sebestena	9			9
542	Alternate-Leaf Dogwood {C. olternifoliaJ 704	Cornus alternifolia	9			9
538	Roughleaf Dogwoqd (G. drummondiiJ 701	Cornus drummondii	4			4
536	Flowering Dogwood (C. Florido) 699	Cornus florida	15			15
539	Brown Dogwood {C. gJabroloJ 702	Cornus glabrata	6			6
537	Pacific Dogwood (C. nuttalliiJ 700	Cornus nuttallii	30			30
541	Red-Osier Dogwood (C. stolonifer'o) 703	Cornus stolonifera	5			5
540	Stiffcornel Dogwood (C. stricta) 702	Cornus stricta	4.5			4.5
626	American Smoke Tree (C. obovotus) 797	Cotinus obovatus	12			12
397	Cliffrose (C. mexiconoJ 561	Cowania mexicana	8			8
447	May Hawthorn (C. oeslivalisJ 613	Crataegus aestivalis			10	10
447	May Hawthorn (C. oeslivalisJ 613	Crataegus ashei			6	6
449	Barberryleaf HaWthorn (G. berberifolio) 614	Crataegus berberifolia			8	8
453	Brainerd Hawthorn (G. brainerdiJ 615	Crataegus boyntonii			8	8
449	Barberryleaf HaWthorn (G. berberifolio) 614	Crataegus brachyacantha			12	12
453	Brainerd Hawthorn (G. brainerdiJ 615	Crataegus brainerdii				#DIV/0!
442	Pear Hawthorn (C. caJpodendronJ 611	Crataegus calpodendron			6	6
452	Round-Leaved Hawthorn (G. chrysocarpo)	Crataegus chrysocarpa				#DIV/0!
457	Scarlet Hawthorn (C. coccinea} 617	Crataegus coccinea			8	8
459	Kansas Hawthorn (C. coccinioidesJ 618	Crataegus coccinioides			6	6
454	Cerro Hawthorn (G. eryfhropodaJ 616	Crataegus collina			8	8
440	Columbia Hawthorn (G. columbiona) 610	Crataegus columbiana				#DIV/0!
448	Cockspur Hawthorn (G. crus-golli) 614	Crataegus crus-galli			10	10
454	Cerro Hawthorn (G. eryfhropodaJ 616	Crataegus dilatata			7	7
439	Black Hawthorn (C. douglasiiJ 610	Crataegus douglasii	12			12
454	Cerro Hawthorn (G. eryfhropodaJ 616	Crataegus erythropoda				#DIV/0!
455	Fanleaf Hawthorn re. flobellotoJ 616	Crataegus flabellata				#DIV/0!
444	Yellow Hawthorn (C. flava) 612	Crataegus flava				#DIV/0!
444	Yellow Hawthorn (C. flava) 612	Crataegus harbisonii			8	8
445	Entangled Hawthorn (C, intricotoJ 612	Crataegus intricata			3	3
445	Entangled Hawthorn (C, intricotoJ 612	Crataegus iracunda			10	10
461	Parsley Hawthorn (C. marsho/JiiJ 619	Crataegus macrosperma			7	7
444	Yellow Hawthorn (C. flava) 612	Crataegus margaretta			7	7
461	Parsley Hawthorn (C. marsho/JiiJ 619	Crataegus marshallii			8	8
456	Downy Hawthorn re. mollisJ 616	Crataegus mollis	12		12	12
464	English Hawthorn (C. monogynaJ 620	Crataegus monogyna	12			12
458	Frosted Hawthorn (C. pruinosaJ 618	Crataegus opaca			10	10
460	Washington Hawthorn (C. phaenopyrum} 619	Crataegus phaenopyrum	12		8	10
458	Frosted Hawthorn (C. pruinosaJ 618	Crataegus pruinosa			10	10
451	Dotted Hawthorn (G. punctalaJ 614	Crataegus pulcherrima			8	8
451	Dotted Hawthorn (G. punctalaJ 614	Crataegus punctata			12	12
463	Willow Hawthorn re. solignaJ 619	Crataegus saligna				#DIV/0!
462	Litllehip Hawthorn (C. spothulotaJ 619	Crataegus spathulata			8	8
441	Fleshy Hawthorn (C. succulenta) 611	Crataegus succulenta			6	6
450	Tracy Hawthorn {C. lrocyi) 614	Crataegus tracyi				#DIV/0!
463	Willow Hawthorn re. solignaJ 619	Crataegus triflora			6	6
443	One-Flowered Hawthorn (C. unifloraJ 611	Crataegus uniflora			5	5
446	Green Hawthorn (G. viridis} 612	Crataegus viridis			12	12
705	Common Calabash Tree (C, cujeteJ 882	Crescentia cujete	10			10
552	Florida Crossopetalum re. rhacoma) 717	Crossopetalum rhacoma	6			6
595	The Florida Cupania (G. gJabraJ 76Q	Cupania glabra	15			15
80	Arizona Cypress (C. orizonicoJ 137	Cupressus arizonica	25	23		24
83	Modoc Cypress (C. bokerii) 139	Cupressus bakeri	14	30		22
84	Gowen Cypress (C. goi'enionoJ 140	Cupressus goveniana	8	10		9
81	Tecate Cypress (C. guadolupensis) 138	Cupressus guadalupensis	10	10		10
82	NcNab Cypress (C. mocnobionoJ 138	Cupressus macnabiana	13	12		12.5
85	Monterey Cypress (C. macrocarpa) 140	Cupressus macrocarpa	25	25		25
85	Monterey Cypress (C. macrocarpa) 140	Cupressus sargentii		25		25
357	Leatherwood, Ironwood JC. rocemifloro)	Cyrilla racemiflora	8			8
504	Desert Smoketree {D. spinosoJ 664	Dalea spinosa	8			8
499	Flamboyant Tree {D. regiaJ 658	Delonix regia	15			15
382	Texas Persimmon (D. lexona) 541	Diospyros texana	16			16
381	Common Persimmon (D, virginionoJ 539	Diospyros virginiana	20			20
377	Willow Bo stic {D. so/icifolioJ 534	Dipholis salicifolia	16			16
601	Florida Hopbush (D. viscosoJ 766	Dodonaea viscosa	3			3
572	Milkbark, Whitewood (D, diversifolia) 737	Drypetes diversifolia	12			12
573	Guiana Plum (D. loterifloro) 737	Drypetes lateriflora	10			10
675	Anaqua {E. anocua) 850	Ehretia anacua	15			15
532	Oleaster, Russian Olive (E, ongustifolioj 692	Elaeagnus angustifolia	8			8
360	Elliottia(E. racemosaJ 512	Elliottia racemosa	10			10
505	Southwestern Coral Bean (E. flobelliformisJ	Erythrina flabelliformis			3	3
506	Eastern Coral Bean (E. herbacea} 665	Erythrina herbacea			5	5
524	Blue Gum (E. g/obuJusJ 683	Eucalyptus globulus	80			80
519	White Stopper Eugenia (E. oxillarisJ 678	Eugenia axillaris	8			8
520	Redberry Eugenia (E. confusaJ 679	Eugenia confusa	18			18
518	Boxleaf Eugenia (E. foetidoJ 677	Eugenia foetida	6			6
521	Spiceberry Eugenia (E. rhombea} 680	Eugenia rhombea	8			8
550	Eastefn Wahoo {E. atropurpureus) 715	Euonymus atropurpureus	8			8
551	Western Wahoo {E. occidenlolisJ 716	Euonymus occidentalis	6			6
708	[! Caribbean Princewood (E, coriboeumj 886	Exostema caribaeum	8			8
599	Inkwood (E. poniculolaJ 764	Exothea paniculata	15			15
503	Kidneywood (E. polystachyo) 663	Eysenhardtia polystachya	7			7
180	American Beech (F. grondifolioJ 300	Fagus grandifolia	30			30
181	European Beech (F. sylvalica) 302	Fagus sylvatica	30			30
147	Florida Strangler Fig (F. ourea} 253	Ficus aurea	20			20
150	Common Fig {F. carica) 256	Ficus carica	10			10
148	Shortleaf Fig (F. citrifolia) 255	Ficus citrifolia	15			15
149	Indian RubDer Tree (F. elastica) 256	Ficus elastica	40			40
295	Chinese Parasol Tree (F. simplex} 445	Firmiana simplex			9	9
681	Swamp Privet (F. ocuminaloJ 859	Forestiera acuminata	10			10
683	Narrow-Leafed Foresliera (F. o,igusitifolio} 860	Forestiera angustifolia	7			7
682	Desert Olive Forestiera (F. phillyreoidesj 859	Forestiera phillyreoides	8			8
684	Florida Privet {F. segregate) 860	Forestiera segregata			3	3
285	Franklinia (F. altomohoJ 430	Franklinia alatamaha	7			7
688	White Ash (F. omcricanoJ 866	Fraxinus americana	25			25
686	Singleleaf Ash (F. onomolaJ 864	Fraxinus anomala	8			8
696	Berlandier Ash (F, berlondieronoJ	Fraxinus berlandieriana			9	9
690	Carolina Ash (F. r.11ro/ininn11)	Fraxinus caroliniana	12			12
692	Fragrant Ash (F. cuspidoto) 871	Fraxinus cuspidata	8			8
693	Two-Petal Ash (F. dipetala) 871	Fraxinus dipetala	7			7
700	Goodding Ash (F. gooddingiiJ	Fraxinus gooddingii			6	6
699	Gregg Ash (F. greggiiJ 876	Fraxinus greggii	8			8
697	Oregon Ash {F. lalifolia) 874	Fraxinus latifolia	25			25
691	Black Ash (F. nigroJ 869	Fraxinus nigra	20			20
698	Chihuahua Ash (F. papil/osa}	Fraxinus papillosa			6	6
687	Green Ash (F. pennsylvonicoJ 865	Fraxinus pennsylvanica	20			20
689	Pumpkin Ash {F. profunda)	Fraxinus profunda	30			30
685	Blue Ash (F. quodrongu/otoj · 863	Fraxinus quadrangulata	20			20
694	Texas Ash (F. texensis) 872	Fraxinus texensis	15			15
695	Velvet Ash(F. velutino) 873	Fraxinus velutina	12			12
293	California Fremontla (F, ca/ifornicum)	Fremontodendron californicum	9			9
294	Mexican Fremontia (F. mexicanumJ	Fremontodendron mexicanum	6			6
535	Wavyleaf Silktassel (G. elliptico) 696	Garrya elliptica	6			6
710	'.>" Seven;Year Apple (G. c/usiifolio) 888	Genipa clusiifolia	4			4
1	GiiJ.kgo, Maidenhair (G. bilobaJ 30	Ginkgo biloba	30	30		30
