"Scientific.Name","preGH","Last","Stem","Size","Leaf","GH"
"Cyperus congestus","H2GW","GW","H","2","GC","H2GC"
"Cyperus cyperinus","H2GW","GW","H","2","GC","H2GC"
"Cyperus cyperoides","H2GW","GW","H","2","GC","H2GC"
"Cyperus flexuosus","H2GW","GW","H","2","GC","H2GC"
"Cyperus fuligineus","H2GW","GW","H","2","GC","H2GC"
"Cyperus grayoides","H2GW","GW","H","2","GC","H2GC"
"Cyperus hillebrandii","H2GW","GW","H","2","GC","H2GC"
"Cyperus javanicus","H2GW","GW","H","2","GC","H2GC"
"Cyperus meyenianus","H2GW","GW","H","2","GC","H2GC"
"Cyperus phleoides","H2GW","GW","H","2","GC","H2GC"
"Cyperus sandwicensis","H2GW","GW","H","2","GC","H2GC"
"Cyperus subtenuis","H2GW","GW","H","2","GC","H2GC"
"Cyperus trachysanthos","H2GW","GW","H","2","GC","H2GC"
"Danaea racemosa","H.FE","FE","H","2","F","H2F"
"Dermatophyllum arizonicum","S2BE","BE","S","2","BD","S2BD"
"Desmodium heterophyllum","H2FV","FV","H","2","F","H2F"
"Desmodium sandwicense","S1BD","BD","S","1","BE","S1BE"
"Dichelostemma volubile","H2FV","FV","H","2","F","H2F"
"Sticherus rubiginosus","H2F","F","H","2","FV","H2FV"
"Hexasepalum sarmentosum","H2FV","FV","H","2","F","H2F"
"Diospyros ebenum","T.BE","BE","T","1","BD","T1BD"
"Doliocarpus major","L.B","B","L",".","BE","L.BE"
"Dubautia microcephala","T1P","P","T","1","BE","T1BE"
"Dubautia plantaginea","T1P","P","T","1","BE","T1BE"
"Dubautia scabra","S1BE","BE","S","2","P","S2P"
"Dubautia waialealae","S1BE","BE","S","2","P","S2P"
"Eleocharis confervoides","H2A","A","H","2","GC","H2GC"
"Encelia resinifera","S2MD","MD","S","2","BD","S2BD"
"Ericameria albida","S2MD","MD","S","2","BD","S2BD"
"Ericameria cervina","S1BD","BD","S","1","MD","S1MD"
"Ericameria ericoides","S2MD","MD","S","2","BD","S2BD"
"Ericameria fasciculata","S1BE","BE","S","2","BD","S2BD"
"Ericameria watsonii","S1BD","BD","S","1","MD","S1MD"
"Eriogonum cinereum","S1BD","BD","S","1","BE","S1BE"
"Eriogonum heermannii","S1MD","MD","S","1","BE","S1BE"
"Eubotrys racemosa","S2BD","BD","S","2","BE","S2BE"
"Eucalyptus X mortoniana","T.BE","BE","T","2","BES","T2BES"
"Euphorbia celastroides","T1BD","BD","T","1","BE","T1BE"
"Euphorbia haeleeleana","T1BD","BD","T","1","BE","T1BE"
"Euphorbia petiolaris","T1BD","BD","T","1","BE","T1BE"
"Euphorbia skottsbergii","S1BD","BD","S","2","BE","S2BE"
"Euphorbia telephioides","H2FS","FS","H","2","F","H2F"
"Fendlera linearis","S2BE","BE","S","2","BD","S2BD"
"Ficus elastica","T2BES","BES","T","2","BE","T2BE"
"Ficus religiosa","T.BD","BD","T","1","BE","T1BE"
"Fimbristylis aestivalis","H1GW","GW","H","1","GC","H1GC"
"Galactia heterophylla","H2F","F","H","2","FV","H2FV"
"Galactia marginalis","H2F","F","H","2","FV","H2FV"
"Galactia microphylla","H2F","F","H","2","FV","H2FV"
"Garrya congdonii","T1BE","BE","T","1","BES","T1BES"
"Gaylussacia brachycera","S1BE","BE","S","1","BD","S1BD"
"Gossypium thurberi","T1BD","BD","T","1","BE","T1BE"
"Gossypium thurberi","T1BD","BD","T","1","BE","T1BE"
"Gratiola amphiantha","H1A","A","H","1","F","H1F"
"Grewia truncata","S2BE","BE","S","2","BD","S2BD"
"Guapira obtusata","T.BD","BD","T","1","BE","T1BE"
"Hibiscus makinoi","S2BD","BD","S","2","BE","S2BE"
"Hygrophila polysperma","H2A","A","H","2","F","H2F"
"Hypericum calycinum","S1BD","BD","S","2","BE","S2BE"
"Ilex myrtifolia","T1BE","BE","T","1","BD","T1BD"
"Inga ingoides","T.B","B","T","1","BD","T1BD"
"Isoetes tuckermanii ssp. acadiensis","H2A","A","H","2","GC","H2GC"
"Isoetes junciformis","H.FE","FE","H","2","GC","H2GC"
"Isoetes riparia","H.A","A","H","2","FE","H2FE"
"Isoetes tennesseensis","H2A","A","H","2","FE","H2FE"
"Isoetes texana","H.FE","FE","H","2","GC","H2GC"
"Isoetes X brittonii","H.FE","FE","H","2","GC","H2GC"
"Lasiacis grisebachii","H.GC","GC","H","1","G","H1G"
"Lathyrus glandulosus","H2F","F","H","2","FV","H2FV"
"Lathyrus japonicus","H2F","F","H","2","FV","H2FV"
"Lathyrus nissolia","H1F","F","H","1","FV","H1FV"
"Lathyrus pannonicus","H2FV","FV","H","2","F","H2F"
"Limnophila chinensis","H2F","F","H","2","A","H2A"
"Lonchocarpus glaucifolius","T.BE","BE","T","2","BD","T2BD"
"Lonicera X heckrottii","S2BE","BE","S","2","BD","S2BD"
"Lupinus arboreus","S1BE","BE","S","1","BD","S1BD"
"Lycium shockleyi","S2MD","MD","S","2","BD","S2BD"
"Matelea balbisii","H2F","F","H","2","FV","H2FV"
"Matelea brevicoronata","H2F","F","H","2","FV","H2FV"
"Matelea cynanchoides","H2F","F","H","2","FV","H2FV"
"Matelea woodsonii","H2F","F","H","2","FV","H2FV"
"Mentzelia jonesii","H1FV","FV","H","1","F","H1F"
"Morella rubra","T.BD","BD","T","1","BE","T1BE"
"Panicum bisulcatum","H1GC","GC","H","1","GW","H1GW"
"Kellochloa brachyantha","H1GC","GC","H","2","GW","H2GW"
"Panicum parvifolium","H2GC","GC","H","2","GW","H2GW"
"Passiflora tuberosa","H2FV","FV","H","2","F","H2F"
"Passiflora X belotii","H2FV","FV","H","2","F","H2F"
"Pelargonium peltatum","H2FV","FV","H","2","F","H2F"
"Oeosporangium viride","H.FE","FE","H","2","F","H2F"
"Phyllanthus orbicularis","S2BE","BE","S","2","BD","S2BD"
"Phyllostegia glabra","H2F","F","H","2","FV","H2FV"
"Phyllostegia haliakalae","H2F","F","H","2","FV","H2FV"
"Phyllostegia kaalaensis","H2F","F","H","2","FV","H2FV"
"Phyllostegia kahiliensis","H2F","F","H","2","FV","H2FV"
"Phyllostegia knudsenii","H2F","F","H","2","FV","H2FV"
"Phyllostegia micrantha","H2F","F","H","2","FV","H2FV"
"Phyllostegia mollis","H2F","F","H","2","FV","H2FV"
"Phyllostegia parviflora","H2F","F","H","2","FV","H2FV"
"Phyllostegia pilosa","H2F","F","H","2","FV","H2FV"
"Phyllostegia variabilis","H2F","F","H","2","FV","H2FV"
"Pisonia floridana","T1BD","BD","T","1","BE","T1BE"
"Pisonia grandis","T1BD","BD","T","1","BE","T1BE"
"Pisonia umbellifera","T1BD","BD","T","1","BE","T1BE"
"Pisonia wagneriana","T.BD","BD","T","1","BE","T1BE"
"Platymiscium stipulare","T2BE","BE","T","2","BD","T2BD"
"Pleomele aurea","T1P","P","T","1","BE","T1BE"
"Phlebotaenia cowellii","T1BD","BD","T","1","BE","T1BE"
"Prunus andersonii","S2MD","MD","S","2","BD","S2BD"
"Prunus lusitanica","T1BE","BE","T","1","BD","T1BD"
"Psorothamnus polydenius","S2MD","MD","S","2","BD","S2BD"
"Pteris tripartita","H.FE","FE","H","2","F","H2F"
"Quercus ajoensis","T1BE","BE","T","1","BD","T1BD"
"Quercus ajoensis","T1BE","BE","T","1","BD","T1BD"
"Quercus ajoensis","T1BE","BE","T","1","BD","T1BD"
"Quercus arizonica","T2BES","BES","T","1","BE","T1BE"
"Quercus chapmanii","T1BE","BE","T","1","BD","T1BD"
"Quercus engelmannii","T2BE","BE","T","2","BES","T2BES"
"Quercus geminata","T1BE","BE","T","1","BD","T1BD"
"Quercus myrtifolia","T1BE","BE","T","1","BD","T1BD"
"Quercus parvula","S2BE","BE","S","2","BES","S2BES"
"Quercus sadleriana","S2BE","BE","S","2","BES","S2BES"
"Quercus tardifolia","T1BE","BE","T","1","BD","T1BD"
"Quercus tomentella","T1BE","BE","T","2","BES","T2BES"
"Quercus vacciniifolia","S2BE","BE","S","2","BES","S2BES"
"Quercus viminea","T1BE","BE","T","1","BD","T1BD"
"Quercus welshii","S2BD","BD","S","2","BE","S2BE"
"Quercus wislizeni","T2BES","BES","T","2","BD","T2BD"
"Quercus wislizeni","T2BES","BES","T","2","BD","T2BD"
"Quercus X acutidens","T.BE","BE","T","1","BD","T1BD"
"Quercus X alvordiana","T.BE","BE","T","1","BD","T1BD"
"Quercus X macdonaldii","T.BE","BE","T","1","BD","T1BD"
"Quercus X townei","T.BE","BE","T","1","BD","T1BD"
"Ranunculus confervoides","H2A","A","H","2","F","H2F"
"Ranunculus lobbii","H1A","A","H","2","F","H2F"
"Endotropis crocea ssp. crocea","S2BES","BES","S","2","BD","S2BD"
"Endotropis crocea ssp. pirifolia","T1BES","BES","T","1","BE","T1BE"
"Rhododendron catawbiense","S2BE","BE","S","2","BD","S2BD"
"Rhododendron chapmanii","S2BE","BE","S","2","BD","S2BD"
"Rhododendron columbianum","S2BE","BE","S","2","BD","S2BD"
"Rhynchosia cytisoides","H2F","F","H","2","FV","H2FV"
"Ribes canthariforme","S2BD","BD","S","2","BE","S2BE"
"Ribes indecorum","S2BD","BD","S","2","BE","S2BE"
"Rosa sicula","S1BE","BE","S","1","BD","S1BD"
"Rosa X odorata","S2BE","BE","S","1","BD","S1BD"
"Rubus randolphiorum","S1BE","BE","S","1","BD","S1BD"
"Sagittaria ambigua","H2F","F","H","2","A","H2A"
"Sagittaria filiformis","H2A","A","H","2","F","H2F"
"Sagittaria kurziana","H2A","A","H","2","F","H2F"
"Salvia clevelandii","S1BE","BE","S","1","BD","S1BD"
"Salvia clevelandii","S1BE","BE","S","1","BD","S1BD"
"Salvia clevelandii","S1BE","BE","S","1","BD","S1BD"
"Salvia funerea","S1MD","MD","S","1","BD","S1BD"
"Schiedea attenuata","H2F","F","H","2","FV","H2FV"
"Schiedea hookeri","H2F","F","H","2","FV","H2FV"
"Schiedea kauaiensis","H2F","F","H","2","FV","H2FV"
"Schiedea verticillata","H2F","F","H","2","FV","H2FV"
"Selaginella corallina","H.FE","FE","H","2","F","H2F"
"Senna siamea","T2BES","BES","T","1","BD","T1BD"
"Serjania lucida","L.BD","BD","L",".","BE","L.BE"
"Solanum aviculare","S1BE","BE","S","1","BD","S1BD"
"Solanum ensifolium","S2BE","BE","S","2","BD","S2BD"
"Solanum polygamum","T1BD","BD","T","1","BE","T1BE"
"Stylisma abdita","H2F","F","H","2","FV","H2FV"
"Tabebuia schumanniana","T.BD","BD","T","1","BE","T1BE"
"Tephrosia candida","S2BE","BE","S","2","BD","S2BD"
"Terminalia myriocarpa","T2BE","BE","T","2","BD","T2BD"
"Tetradymia tetrameres","S1MD","MD","S","1","BD","S1BD"
"Tripsacum fasciculatum","H2GW","GW","H","2","GC","H2GC"
"Vaccinium calycinum","S2BD","BD","S","2","BE","S2BE"
"Vaccinium ovatum","S1BE","BE","S","1","BD","S1BD"
"Vicia bithynica","H1F","F","H","1","FV","H1FV"
"Cochliasanthus caracalla","H2F","F","H","2","FV","H2FV"
"Xylorhiza venusta","S1ME","ME","S","1","BE","S1BE"
"Zanthoxylum coriaceum","S2BE","BE","S","2","BD","S2BD"
"Zanthoxylum punctatum","S2BD","BD","S","2","BE","S2BE"
"Sarcomphalus obtusifolius var. obtusifolius","T1MD","MD","T","1","BE","T1BE"
"Sarcomphalus obtusifolius var. obtusifolius","T1MD","MD","T","1","BE","T1BE"
"Sarcomphalus obtusifolius var. obtusifolius","T1MD","MD","T","1","BE","T1BE"
"Abarema macradenia","T.B","B","T","2","BE","T2BE"
"Abarema racemiflora","T.B","B","T","2","BE","T2BE"
"Abuta panamensis","L.B","B","L",".","BE","L.BE"
"Abuta racemosa","L.B","B","L",".","F","L.F"
